venue,year,facets,relation,confidence,prerank_rank,cited_by_count,oa_url,title,authors,why,key
DEON,2004,bounded-deontics,prior-art,high,252,104,https://dspace.library.uu.nl/handle/1874/11502,Designing a Deontic Logic of Deadlines,Jan M. Broersen; Frank Dignum; Virginia Dignum; John-Jules Ch. Meyer,Dyadic deadline-obligation operator formalized in CTL branching-time models; directly relevant to deadlines.,conf/deon/BroersenDDM04
DEON,2004,bounded-deontics,prior-art,high,66,82,http://espace.library.uq.edu.au/view/UQ:9638/deon04.pdf,"Defeasible Logic: Agency, Intention and Obligation",Guido Governatori; Antonino Rotolo,"Computationally-oriented defeasible multi-modal logic combining agency, intention, obligation.",conf/deon/GovernatoriR04
DEON,1996,bounded-deontics,prior-art,med,502,56,https://ris.utwente.nl/ws/files/6139830/dignum96modal.pdf,"A Modal Approach to Intentions, Commitments and Obligations: Intention plus Commitment Yields Obligation",Frank Dignum; John-Jules Ch. Meyer; Roel J. Wieringa; Ruurd Kuiper,Modal framework deriving obligation from intention plus commitment; agent-theoretic normative reasoning.,conf/deon/DignumMWK96
DEON,1996,bounded-deontics,prior-art,med,792,47,https://philpapers.org/archive/MCNMID.pdf,Must I Do What I Ought? (Or Will the Least I Can Do Do?),Paul McNamara,Foundational distinction between 'must' and 'ought'; challenges standard deontic-logic presuppositions.,conf/deon/McNamara96
DEON,2004,bounded-deontics,prior-art,high,481,44,,A Proposal for Dealing with Deontic Dilemmas,Lou Goble,Modifies standard deontic logic to accommodate deontic dilemmas without explosion or inconsistency.,conf/deon/Goble04
DEON,2006,bounded-deontics,prior-art,high,622,43,,The Deontic Component of Action Language nC+,Marek J. Sergot; Robert Craven,Sergot's deontic component of action language C+ specifying permitted states/transitions.,conf/deon/SergotC06
DEON,1996,bounded-deontics,prior-art,med,368,41,,Getting Personal: Some Notes on the Relationship Between Personal and Impersonal Obligation,Christen Krogh; Henning Herrestad,"Analyzes personal vs impersonal deontic notions, refining standard deontic logic's normative positions.",conf/deon/KroghH96
DEON,2006,bounded-deontics,prior-art,high,550,36,https://dspace.library.uu.nl/handle/1874/19680,Counts-as: Classification or Constitution? An Answer Using Modal Logic,Davide Grossi; John-Jules Ch. Meyer; Frank Dignum,Modal-logic analysis distinguishing classificatory vs constitutive readings of counts-as; core institutional-fact theory.,conf/deon/GrossiMD06
DEON,2008,bounded-deontics,prior-art,med,683,36,,A Logical Analysis of the Interaction between &apos;Obligation-to-do&apos; and &apos;Knowingly Doing&apos;,Jan M. Broersen,STIT-based logic of interaction between obligation-to-do and knowingly-doing.,conf/deon/Broersen08
DEON,2008,fm-in-law|intro,prior-art,high,566,35,,Reasoning about Conditions and Exceptions to Laws in Regulatory Conformance Checking,Nikhil Dinesh; Aravind K. Joshi; Insup Lee; Oleg Sokolsky,Trace-checking framework for regulatory conformance handling conditions and exceptions to laws.,conf/deon/DineshJLS08
DEON,1996,bounded-deontics,prior-art,med,643,32,,How to Combine Ordering and Minimizing in a Deontic Logic Based on Preferences,Yao-Hua Tan; Leendert W. N. van der Torre,Dyadic deontic logic with preference ordering over worlds; technique underlying CTD-style reasoning.,conf/deon/TanT96
DEON,2008,bounded-deontics,prior-art,high,396,31,http://orbilu.uni.lu/handle/10993/15889,Reactive Kripke Models and Contrary to Duty Obligations,Dov M. Gabbay,"Reactive Kripke models for contrary-to-duty obligations (Carmo/Jones, van der Torre, Prakken/Sergot examples)",conf/deon/Gabbay08
