relevance,venue,year,facets,relation,confidence,prerank_rank,cited_by_count,oa_url,title,authors,why,key
core,ICAIL,2005,bounded-deontics,prior-art,high,1,144,http://espace.library.uq.edu.au/view/UQ:9579/ic05.pdf,Temporalised Normative Positions in Defeasible Logic,Guido Governatori; Antonino Rotolo; Giovanni Sartor,Temporalised deontic normative positions in defeasible logic; core deontic-temporal formalism.,conf/icail/GovernatoriRS05
core,ICAIL,2015,bounded-deontics|fm-in-law,contrasts,high,3,51,https://arxiv.org/pdf/1404.1685,Thou shalt is not you will,Guido Governatori,CTD/permission paradox arguing temporal logic ill-suited to norms; bears on deontic-as-LTL question.,conf/icail/Governatori15
core,ICAIL,2007,bounded-deontics,prior-art,high,4,41,http://espace.library.uq.edu.au/view/UQ:13611/icail.pdf,Variants of temporal defeasible logics for modelling norm modifications,Guido Governatori; Antonino Rotolo; Régis Riveret; Monica Palmirani; Giovanni Sartor,Temporal defeasible logic variants for norm modification persistence vs blocking.,conf/icail/GovernatoriRRPS07
core,ICAIL,2015,determinacy-frontier|bounded-deontics,prior-art,high,6,31,,Deontic defeasible reasoning in legal interpretation: two options for modelling interpretive arguments,Antonino Rotolo; Guido Governatori; Giovanni Sartor,Deontic defeasible logic for modelling interpretive-canon argumentation.,conf/icail/RotoloGS15
core,JURIX,2011,intro|cnl,method-to-borrow,high,13,84,,On Rule Extraction from Regulations,Adam Z. Wyner; Wim Peters,Linguistically-oriented rule extraction from regulations into executable logic.,conf/jurix/WynerP11
core,ICAIL,2021,intro|determinacy-frontier,prior-art,high,15,10,https://figshare.com/articles/conference_contribution/Converting_copyright_legislation_into_machine-executable_code_interpretation_coding_validation_and_legal_alignment/27593496,"Converting copyright legislation into machine-executable code: interpretation, coding validation and legal alignment",Alice Witt; Anna Huggins; Guido Governatori; Joshua Buckley,Converting copyright legislation to machine-executable code; divergent coder interpretations.,conf/icail/WittHGB21
core,ICAIL,2009,intro|cnl,prior-art,high,16,28,,Isomorphism and argumentation,Trevor J. M. Bench-Capon; Thomas F. Gordon,Isomorphism of legal-rule representations to source legislation; explicit isomorphism analysis.,conf/icail/Bench-CaponG09
core,JURIX,2020,bounded-deontics,prior-art,high,20,1,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200853,Free Choice Permission in Defeasible Deontic Logic,Guido Governatori; Antonino Rotolo,Free Choice Permission modelled in Defeasible Deontic Logic.,conf/jurix/GovernatoriR20
core,ICAIL,2001,intro,method-to-borrow,med,25,65,http://espace.library.uq.edu.au/view/UQ:9619/governatori.pdf,A formal approach to legal negotiation,Guido Governatori; Marlon Dumas; Arthur H. M. ter Hofstede; Phillipa Oaks,Formal executable framework/protocol for automated legal negotiation with defeasible reasoning module.,conf/icail/GovernatoriDHO01
core,ICAIL,2023,bounded-deontics|determinacy-frontier,prior-art,high,26,8,https://hdl.handle.net/11585/961928,Deontic Ambiguities in Legal Reasoning,Guido Governatori; Antonino Rotolo,Deontic ambiguity propagation/blocking across norms in Defeasible Deontic Logic.,conf/icail/GovernatoriR23
core,JURIX,2022,bounded-deontics,prior-art,high,27,4,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220447,Stable Normative Explanations,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Matteo Cristani,Stable normative explanations for XAI over compliance/normative reasoning.,conf/jurix/GovernatoriORC22
core,ICAIL,2013,determinacy-frontier,prior-art,high,30,31,http://ruj.uj.edu.pl/xmlui/handle/item/12551,Modeling teleological interpretation,Tomasz Zurek; Michal Araszkiewicz,Model of teleological interpretation of statutory rules.,conf/icail/ZurekA13
core,ICAIL,1993,determinacy-frontier,prior-art,med,32,46,https://dl.acm.org/doi/pdf/10.1145/158976.159001,A Simple Computational Model for Nonmonotonic and Adversarial Legal Reasoning,Giovanni Sartor,Nonmonotonic reasoning over semantically indeterminate/conflicting legal norms.,conf/icail/Sartor93
core,ICAIL,2013,cnl|bounded-deontics,prior-art,high,34,78,,OASIS LegalRuleML,Tara Athan; Harold Boley; Guido Governatori; Monica Palmirani; Adrian Paschke; Adam Z. Wyner,"OASIS LegalRuleML core: deontic operators, defeasibility, legal-source markup.",conf/icail/AthanBGPPW13
core,ICAIL,1987,intro,prior-art,high,39,109,https://dl.acm.org/doi/pdf/10.1145/41735.41757,Logic Programming for Large Scale Applications in Law: A Formalisation of Supplementary Benefit Legislation,Trevor J. M. Bench-Capon; G. O. Robinson; Tom Routen; Marek J. Sergot,Classic logic-programming formalisation of UK Supplementary Benefit legislation as executable law.,conf/icail/Bench-CaponRRS87
core,DEON,2012,bounded-deontics,prior-art,high,40,21,,Possible World Semantics for Defeasible Deontic Logic,Guido Governatori; Antonino Rotolo; Erica Calardo,"Possible-world semantics for Defeasible Deontic Logic; Governatori school, directly aligns with defeasible-deontics approach.",conf/deon/GovernatoriRC12
core,ICAIL,2013,bounded-deontics,prior-art,high,42,18,http://hdl.handle.net/10072/58750,Legal contractions: a logical analysis,Guido Governatori; Antonino Rotolo; Francesco Olivieri; Simone Scannapieco,"Legal contraction (rule removal/exception/priority change) in Defeasible Deontic Logic, AGM-style.",conf/icail/GovernatoriROS13
core,JURIX,2016,determinacy-frontier,prior-art,high,46,7,http://hdl.handle.net/11585/602591,Interpretation Across Legal Systems,Alessandra Malerba; Antonino Rotolo; Guido Governatori,Interpretive canons across legal systems in private international law.,conf/jurix/MalerbaRG16
core,JURIX,2014,determinacy-frontier,prior-art,high,48,26,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=1032&context=crrarpub,Argumentation Schemes for Statutory Interpretation: A Logical Analysis,Giovanni Sartor; Doug Walton; Fabrizio Macagno; Antonino Rotolo,Logical analysis of argumentation schemes for statutory interpretation canons.,conf/jurix/SartorWMR14
core,JURIX,2011,bounded-deontics,prior-art,high,50,9,,Three Concepts of Defeasible Permission,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Simone Scannapieco,Three concepts of defeasible permission as exceptions to obligations.,conf/jurix/GovernatoriORS11
core,ICAIL,2013,fm-in-law|bounded-deontics,prior-art,high,51,15,,Temporal deontic action logic for the verification of compliance to norms in ASP,Laura Giordano; Alberto Martelli; Daniele Theseider Dupré,Deontic temporal ASP logic verifying business-process compliance via bounded model checking.,conf/icail/GiordanoMD13
core,JURIX,2013,bounded-deontics|intro,prior-art,high,54,9,,Heuristics for Licenses Composition,Guido Governatori; Ho-Pun Lam; Antonino Rotolo; Serena Villata; Fabien Gandon,License-composition heuristics combining deontic permissions/obligations/prohibitions via defeasible reasoner.,conf/jurix/GovernatoriLRVG13
core,ICAIL,2017,bounded-deontics,prior-art,high,57,15,https://zenodo.org/record/3502305,The pragmatic oddity in norm-based deontic logics,Xavier Parent; Leendert W. N. van der Torre,"Pragmatic-oddity CTD paradox in norm-based deontic logics, sound/complete proof systems.",conf/icail/ParentT17
core,ICAIL,2025,bounded-deontics,prior-art,high,59,0,https://doi.org/10.1145/3769126.3769250,Judicial Permission,Guido Governatori; Antonino Rotolo,Judicial (weak) permission dialogue-game model in criminal trials.,conf/icail/GovernatoriR25
core,ICAIL,2025,bounded-deontics,prior-art,high,60,0,https://dl.acm.org/doi/10.1145/3769126.3769242,Rule-based Deontic Case-based Reasoning,Antonino Rotolo; Cecilia Di Florio; Guido Governatori,Rule-based deontic CBR framework validating AI judicial predictions via Defeasible Deontic Logic.,conf/icail/RotoloFG25
core,JURIX,2019,bounded-deontics,prior-art,high,61,2,https://doi.org/10.3233/faia190322,Deontic Closure and Conflict in Legal Reasoning,Guido Governatori; Robert Mullins,Deontic closure/conflict patterns in defeasible deontic logics.,conf/jurix/GovernatoriM19
core,JURIX,2019,bounded-deontics,prior-art,high,62,1,https://doi.org/10.3233/faia190323,A Computational Model for Pragmatic Oddity,Guido Governatori; Antonino Rotolo,Computational model of Pragmatic Oddity via Deontic Defeasible Logic.,conf/jurix/GovernatoriR19a
core,JURIX,2010,bounded-deontics,prior-art,high,64,4,,Representations of Time within Normative MAS,Clara Smith; Antonino Rotolo; Giovanni Sartor,Deontic tense logic combining temporal reasoning with obligations in normative MAS.,conf/jurix/SmithRS10
core,ICAIL,2017,determinacy-frontier,prior-art,high,65,10,https://inria.hal.science/hal-01672343v1/document,Combining fuzzy logic and formal argumentation for legal interpretation,Célia da Costa Pereira; Andrea G. B. Tettamanzi; Beishui Liao; Alessandra Malerba; Antonino Rotolo; Leendert W. N. van der Torre,Fuzzy logic + argumentation for vagueness/open-texture in legal interpretation.,conf/icail/PereiraTLMRT17
core,DEON,2004,bounded-deontics,prior-art,high,66,82,http://espace.library.uq.edu.au/view/UQ:9638/deon04.pdf,"Defeasible Logic: Agency, Intention and Obligation",Guido Governatori; Antonino Rotolo,"Computationally-oriented defeasible multi-modal logic combining agency, intention, obligation.",conf/deon/GovernatoriR04
core,JURIX,2016,bounded-deontics,prior-art,high,67,5,,When and How to Violate Norms,Trevor J. M. Bench-Capon; Sanjay Modgil,Value-based reasoning about when/how agents should violate norms.,conf/jurix/Bench-CaponM16
core,JURIX,2015,bounded-deontics,prior-art,high,68,4,,Burden of Compliance and Burden of Violation,Guido Governatori,Computational account of burden of compliance vs burden of violation of norms.,conf/jurix/Governatori15
core,DEON,2008,bounded-deontics,prior-art,high,69,29,http://espace.library.uq.edu.au/view/UQ:134084/part1.pdf,Changing Legal Systems: Abrogation and Annulment Part I: Revision of Defeasible Theories,Guido Governatori; Antonino Rotolo,Governatori/Rotolo model legal abrogation/annulment via defeasible-theory revision; legal-change formalization.,conf/deon/GovernatoriR08
core,ICAIL,1993,determinacy-frontier,contrasts,high,72,78,,Neural Networks and Open Texture,Trevor J. M. Bench-Capon,Neural nets vs symbolic rules for open-texture classification; direct open-texture facet hit.,conf/icail/Bench-Capon93
core,ICAIL,2011,bounded-deontics|intro,prior-art,high,77,16,,Modelling temporal legal rules,Monica Palmirani; Guido Governatori; Giuseppe Contissa,Extends LKIF-rules with temporal dimensions + defeasible logic for legal rule modelling.,conf/icail/PalmiraniGC11
core,JURIX,2012,determinacy-frontier,prior-art,high,81,1,,Narrowing Legal Concepts,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Simone Scannapieco,Restrictive interpretation of legal concepts via counts-as rule revision.,conf/jurix/GovernatoriORS12
core,JURIX,2018,intro,supports,high,82,13,https://doi.org/10.3233/978-1-61499-935-5-31,Legal Representation and Reasoning in Practice: A Critical Comparison,Sotiris Batsakis; George Baryannis; Guido Governatori; Ilias Tachmazidis; Grigoris Antoniou,Critical comparison of ASP/Argumentation/Defeasible-Logic representations for legal rule reasoning.,conf/jurix/BatsakisBGTA18
core,ICAIL,2015,intro,example,high,84,3,,RuleOMS: a rule-based online management system,Mohammad Badiul Islam; Guido Governatori,RuleOMS: defeasible-logic rule engine integrated with relational DBs for regulation-driven decisions.,conf/icail/IslamG15
core,ICAIL,2021,bounded-deontics,prior-art,high,85,3,http://hdl.handle.net/10072/407857,Unravel legal references in defeasible deontic logic,Guido Governatori; Francesco Olivieri,Modelling and resolving cross-references between legal provisions in defeasible deontic logic.,conf/icail/GovernatoriO21
core,JURIX,2010,intro|bounded-deontics,prior-art,high,87,8,,Temporal Dimensions in Rules Modelling,Monica Palmirani; Guido Governatori; Giuseppe Contissa,XML-schema extending LKIF-rules with temporal dimensions for legal-rule modelling.,conf/jurix/PalmiraniGC10
core,ICAIL,2013,bounded-deontics,prior-art,high,89,2,https://inria.hal.science/hal-00907879/document,A deontic logic semantics for licenses composition in the web of data,Antonino Rotolo; Serena Villata; Fabien Gandon,Deontic-logic semantics (permission/obligation/prohibition) for Web-of-Data license composition.,conf/icail/RotoloVG13
core,DEON,2014,bounded-deontics|fm-in-law,supports,high,90,3,,Detecting Deontic Conflicts in Dynamic Settings,Silvano Colombo Tosatto; Guido Governatori; Pierre Kelsen,"Detects conflicting obligations/permissions in dynamic regulatory settings; conflict-detection-as-verification, directly relevant.",conf/deon/TosattoGK14
core,JURIX,2023,bounded-deontics,prior-art,high,93,1,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230953,Permission in a Kelsenian Perspective,Agata Ciabattoni; Xavier Parent; Giovanni Sartor,Kelsenian reconstruction of strong permission and obligation/permission conflicts.,conf/jurix/CiabattoniPS23
core,ICAIL,2013,fm-in-law|bounded-deontics,example,high,94,29,,Regorous: a business process compliance checker,Guido Governatori; Sidney Shek,Regorous: compliance-by-design business-process compliance checker tool.,conf/icail/GovernatoriS13
core,ICAIL,2017,determinacy-frontier,prior-art,high,95,6,,A logical architecture for dynamic legal interpretation,Juliano S. A. Maranhão,Input/output-logic architecture for dynamic legal interpretation as theory revision.,conf/icail/Maranhao17
core,ICAIL,1989,determinacy-frontier,prior-art,high,98,23,https://dl.acm.org/doi/pdf/10.1145/74014.74035,Issue Spotting in a System for Searching Interpretation Spaces,Thomas F. Gordon,Issue-spotting by searching interpretation spaces of legal rules.,conf/icail/Gordon89
core,ICAIL,2003,bounded-deontics,prior-art,high,100,111,,Permissions and Obligations in Hierarchical Normative Systems,Guido Boella; Leendert W. N. van der Torre,Weak/strong permission in hierarchical normative systems via input/output logic.,conf/icail/BoelleT03
core,ICAIL,2017,bounded-deontics,prior-art,high,103,6,http://hdl.handle.net/11585/626954,Changes to temporary norms,Matteo Cristani; Francesco Olivieri; Antonino Rotolo,"Operators for modifying temporary norms (extend/anticipate, preserve/void effects).",conf/icail/CristaniOR17
core,DEON,2014,bounded-deontics,prior-art,high,104,6,,A Preference-Based Semantics for CTD Reasoning,Erica Calardo; Guido Governatori; Antonino Rotolo,Preference-based possible-world semantics for reparative-obligation connective handling contrary-to-duty paradoxes.,conf/deon/CalardoGR14
core,ICAIL,1991,bounded-deontics,prior-art,med,107,35,,The Structure of Norm Conditions and Nonmonotonic Reasoning in Law,Giovanni Sartor,Foundational structure-of-norm-conditions analysis; formalism adequacy for rules/exceptions (OCR-garbled abstract).,conf/icail/Sartor91
core,JURIX,2015,bounded-deontics,prior-art,high,114,1,,Permissions in Deontic Event-Calculus,Guido Governatori; Mustafa Hashmi,Extends deontic event-calculus with permission predicates for compliance,conf/jurix/GovernatoriH15
core,ICAIL,2019,bounded-deontics|fm-in-law,prior-art,high,126,2,https://arxiv.org/pdf/1810.09993,Automated reasoning in normative detachment structures with ideal conditions,Tomer Libal; Matteo Pascucci,"Bimodal logic for contrary-to-duty reasoning, deontic paradoxes, mechanized query-answering on legal text",conf/icail/LibalP19
core,DEON,2010,bounded-deontics,supports,high,133,10,,Retroactive Legal Changes and Revision Theory in Defeasible Logic,Antonino Rotolo,Defeasible logic modeling retroactive legal change (annulment/abrogation/derogation); computational legal-dynamics reasoning.,conf/deon/Rotolo10
core,JURIX,2017,cnl|bounded-deontics,prior-art,high,135,16,https://doi.org/10.3233/978-1-61499-838-9-1,Normative Requirements as Linked Data,Fabien Gandon; Guido Governatori; Serena Villata,Extends LegalRuleML for normative requirements as Linked Data with operational deontic reasoning,conf/jurix/GandonGV17
core,JURIX,2020,bounded-deontics|fm-in-law,prior-art,high,143,18,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200844,Traffic Rules Encoding Using Defeasible Deontic Logic,Hanif Bhuiyan; Guido Governatori; Andy Bond; Sébastien Demmel; Mohammad Badiul Islam; Andry Rakotonirainy,Defeasible Deontic Logic encoding of AV traffic rules with compliance assessment,conf/jurix/BhuiyanGBDIR20
core,ICAIL,1987,intro,prior-art,high,147,23,,Oblog-2: A Hybrid Knowledge Representation System for Defeasible Reasoning,Thomas F. Gordon,Oblog-2: hybrid KR system with Horn-clause defeasible rules explicitly designed for modeling legal domains,conf/icail/Gordon87
core,ICAIL,1995,bounded-deontics,prior-art,high,156,66,https://dl.acm.org/doi/pdf/10.1145/222092.222243,Obligations Directed from Bearers to Counterparts,Henning Herrestad; Christen Krogh,Hohfeldian logical analysis of directed obligation/prohibition/permission between bearer and counterpart,conf/icail/HerrestadK95
